time_period,time_format,granularity,geocode,pact_t,pact_m,pact_f,pact_t_16a24,pact_t_25a34,pact_t_35a44,pact_t_45a54,pact_t_55mas,pact_m_16a24,pact_m_25a34,pact_m_35a44,pact_m_45a54,pact_m_55mas,pact_f_16a24,pact_f_25a34,pact_f_35a44,pact_f_45a54,pact_f_55mas,pocu_t,pocu_m,pocu_f,pocu_t_16a24,pocu_t_25a34,pocu_t_35a44,pocu_t_45a54,pocu_t_55mas,pocu_m_16a24,pocu_m_25a34,pocu_m_35a44,pocu_m_45a54,pocu_m_55mas,pocu_f_16a24,pocu_f_25a34,pocu_f_35a44,pocu_f_45a54,pocu_f_55mas,pocu_a401,pocu_a402,pocu_a403,pocu_a404,psal_t,psal_m,psal_f,psal_t_16a24,psal_t_25a34,psal_t_35a44,psal_t_45a54,psal_t_55mas,psal_m_16a24,psal_m_25a34,psal_m_35a44,psal_m_45a54,psal_m_55mas,psal_f_16a24,psal_f_25a34,psal_f_35a44,psal_f_45a54,psal_f_55mas,psal_pri_t,psal_pri_m,psal_pri_f,psal_pub_t,psal_pub_m,psal_pub_f,psel_t,psel_m,psel_f,ppar_t,ppar_m,ppar_f,ppar_t_16a24,ppar_t_25a34,ppar_t_35a44,ppar_t_45a54,ppar_t_55mas,ppar_ld_t,ppar_ld_m,ppar_ld_f,tpar_t,tpar_m,tpar_f,tsal_t,tsal_m,tsal_f,label
2024,P1Y,MUNICIPALITIES,35031,5174,2660,2515,360,983,1126,1439,1267,192,514,549,724,681,169,469,577,715,585,4412,2353,2059,281,885,996,1254,996,157,464,505,656,571,124,421,491,598,425,156,348,316,3567,3720,1873,1848,264,811,853,1014,780,142,409,417,493,413,122,402,436,521,367,3014,1629,1385,703,242,461,692,481,212,762,306,456,79,98,131,185,271,374,127,247,14.72,11.52,18.11,84.31,79.57,89.73,Valsequillo de Gran Canaria
2024,P1Y,MUNICIPALITIES,35032,1878,1055,823,94,305,410,579,490,56,173,217,328,281,38,131,194,251,209,1570,889,682,74,269,354,494,380,45,153,190,283,219,29,117,164,211,161,51,121,134,1256,1317,702,615,71,243,297,409,298,43,134,150,221,154,28,109,147,188,144,943,564,379,374,138,237,253,187,66,308,166,142,21,35,56,85,111,143,80,63,16.38,15.74,17.19,83.87,78.96,90.28,Valleseco
2024,P1Y,MUNICIPALITIES,35033,4047,2155,1892,246,727,845,1165,1065,135,387,436,592,604,110,340,409,573,461,3418,1879,1539,195,637,746,1005,836,108,347,393,528,503,87,290,353,478,333,113,247,263,2780,2878,1510,1368,190,597,634,827,631,104,322,326,415,344,86,275,308,412,287,2259,1280,979,619,231,389,540,369,171,629,276,353,51,90,99,160,229,296,119,177,15.54,12.8,18.67,84.21,80.39,88.87,Vega de San Mateo
2024,P1Y,MUNICIPALITIES,38001,24589,12694,11895,1863,4628,6207,6863,5029,1002,2401,3063,3548,2680,861,2228,3144,3315,2349,22441,11805,10635,1713,4324,5768,6328,4307,916,2274,2898,3315,2403,797,2051,2870,3014,1904,263,461,1068,20610,17380,8806,8575,1595,3699,4390,4708,2988,845,1912,2153,2322,1575,751,1787,2237,2387,1413,16368,8356,8012,995,441,555,5060,3000,2061,2148,888,1260,149,304,439,534,722,753,252,502,8.74,7,10.59,77.45,74.59,80.63,Adeje
2024,P1Y,MUNICIPALITIES,38002,472,261,211,24,88,81,126,154,10,50,44,73,85,14,38,37,53,69,395,220,175,15,76,70,109,126,6,44,38,62,70,9,32,32,47,56,28,8,46,312,336,184,151,14,72,61,96,93,5,42,31,54,52,9,30,30,42,41,235,140,95,100,44,56,60,36,24,77,41,36,9,12,12,17,28,23,14,10,16.31,15.72,17.04,84.94,83.85,86.31,Agulo
2024,P1Y,MUNICIPALITIES,38003,981,530,451,61,174,188,302,256,33,103,103,157,134,28,71,85,145,122,877,480,397,53,154,178,274,219,30,92,99,145,116,24,63,79,129,103,22,20,97,736,771,422,348,53,146,156,234,182,30,86,84,125,98,24,60,72,110,84,653,377,277,118,46,72,107,58,49,104,50,54,8,19,11,28,38,27,12,16,10.56,9.39,11.92,87.86,87.97,87.72,Alajeró
2024,P1Y,MUNICIPALITIES,38004,2950,1525,1425,224,450,689,917,670,133,233,322,481,357,91,218,368,437,313,2519,1353,1166,184,387,613,819,516,109,212,299,444,290,75,175,315,376,226,50,214,166,2084,2173,1131,1043,174,355,531,704,410,103,191,249,369,219,71,164,282,334,192,1698,960,738,475,171,305,346,223,123,431,172,259,40,63,76,98,154,201,79,122,14.6,11.25,18.19,86.27,83.56,89.43,Arafo
2024,P1Y,MUNICIPALITIES,38005,4577,2461,2116,313,819,1130,1371,945,176,418,593,743,532,136,402,537,629,413,3925,2155,1770,276,732,993,1200,726,158,378,541,659,419,117,353,452,541,306,356,370,287,2905,3361,1799,1562,265,667,843,1027,560,150,343,445,550,311,115,324,398,477,249,2967,1676,1291,394,123,271,564,356,208,652,306,346,37,88,137,171,219,280,123,157,14.24,12.42,16.35,85.63,83.47,88.26,Arico
2024,P1Y,MUNICIPALITIES,38006,43232,22341,20891,3485,8724,10371,11637,9015,1884,4454,5248,6029,4727,1601,4270,5123,5609,4289,38313,20258,18055,3186,8092,9470,10382,7184,1728,4183,4894,5471,3984,1458,3910,4576,4911,3200,799,1130,2202,34097,31827,16336,15491,3022,7256,7779,8390,5381,1623,3678,3945,4249,2842,1400,3578,3833,4141,2539,30296,15728,14568,1511,597,914,6485,3922,2564,4920,2083,2837,299,632,902,1256,1831,2038,775,1263,11.38,9.32,13.58,83.07,80.64,85.8,Arona
2024,P1Y,MUNICIPALITIES,38007,932,503,429,61,159,201,257,255,34,88,103,146,131,26,70,98,111,124,778,425,353,47,137,178,221,195,27,77,93,124,104,21,60,85,97,92,106,26,71,575,621,311,310,46,116,142,176,142,26,62,69,94,60,19,54,73,82,82,421,253,168,200,58,142,157,114,43,154,78,76,13,22,23,36,60,42,21,21,16.53,15.46,17.77,79.81,73.12,87.88,Barlovento
2024,P1Y,MUNICIPALITIES,38008,3781,1902,1879,207,666,823,1071,1014,103,340,407,526,525,104,326,415,545,489,3246,1671,1575,159,579,737,955,817,77,297,371,482,444,82,282,366,473,373,99,133,289,2718,2775,1380,1394,152,530,628,804,661,76,269,303,389,344,76,261,325,415,317,2004,1115,889,770,265,505,471,291,180,535,231,305,49,88,86,116,197,218,84,134,14.16,12.12,16.22,85.49,82.6,88.55,Breña Alta
2024,P1Y,MUNICIPALITIES,38009,3065,1562,1503,131,541,728,907,758,71,255,358,482,397,61,287,370,425,361,2667,1405,1263,104,479,660,815,609,55,230,331,446,344,49,250,330,369,266,82,82,169,2332,2287,1150,1137,99,437,561,711,480,52,206,264,375,253,47,232,297,336,227,1568,866,702,719,284,435,380,255,126,398,158,240,27,62,68,92,149,180,63,117,12.97,10.08,15.97,85.74,81.87,90.06,Breña Baja
2024,P1Y,MUNICIPALITIES,38010,2147,1121,1026,145,355,513,608,527,75,194,259,317,277,70,161,254,291,250,1788,956,833,116,310,456,510,397,60,172,238,277,209,56,138,218,233,188,326,70,87,1293,1475,781,694,109,290,372,418,286,55,161,191,229,145,55,129,180,189,141,1161,663,498,314,118,196,314,175,139,359,165,194,29,45,57,98,130,168,79,89,16.71,14.74,18.86,82.45,81.66,83.36,Buenavista del Norte
2024,P1Y,MUNICIPALITIES,38011,14418,7053,7365,760,2422,3546,4445,3246,400,1183,1650,2188,1632,360,1239,1896,2257,1614,12558,6317,6241,611,2168,3205,3968,2606,323,1085,1530,2017,1363,288,1083,1675,1951,1244,118,721,655,11034,10858,5300,5558,577,2004,2798,3389,2091,304,991,1305,1660,1041,274,1013,1493,1728,1051,8009,4287,3723,2847,1013,1834,1700,1017,683,1860,736,1124,149,254,341,477,640,792,289,504,12.9,10.43,15.26,86.46,83.9,89.06,Candelaria
2024,P1Y,MUNICIPALITIES,38012,1480,832,648,84,218,355,460,364,45,114,197,265,211,38,104,158,195,153,1252,716,536,68,198,321,391,274,37,105,184,231,161,31,93,138,160,113,50,89,91,1019,1067,596,471,64,187,273,320,224,34,98,159,181,124,30,88,114,139,100,835,512,323,233,84,148,185,120,65,229,116,113,16,21,34,69,90,100,50,50,15.44,13.94,17.36,85.24,83.25,87.91,Fasnia
2024,P1Y,MUNICIPALITIES,38013,2029,1052,977,132,414,497,551,435,76,205,254,280,238,56,210,243,271,197,1747,913,834,103,374,442,483,345,60,186,230,251,186,43,188,212,233,159,148,100,142,1357,1424,709,715,100,328,358,403,235,60,162,178,194,115,41,166,180,209,120,1074,587,487,350,122,228,323,204,119,282,139,143,29,41,54,68,90,94,50,45,13.9,13.2,14.66,81.54,77.68,85.76,Frontera
2024,P1Y,MUNICIPALITIES,38014,893,471,422,60,195,203,224,211,31,102,103,125,111,29,94,100,99,101,765,420,345,47,170,184,190,175,26,92,95,108,99,22,78,89,82,76,61,32,57,615,622,325,297,43,139,158,150,132,24,72,79,80,70,20,67,79,69,63,478,268,209,144,57,88,143,95,48,128,51,77,13,26,19,34,37,40,17,24,14.31,10.78,18.25,81.31,77.32,86.16,Fuencaliente de La Palma
2024,P1Y,MUNICIPALITIES,38015,2145,1151,994,123,354,486,618,563,75,187,253,323,314,49,168,234,295,249,1783,981,802,98,310,435,526,414,61,167,231,277,246,38,143,205,249,168,170,63,134,1402,1493,810,683,94,273,372,434,320,58,146,191,226,189,36,126,182,208,131,1197,688,509,296,122,174,290,171,119,362,170,192,25,45,51,92,149,176,87,90,16.88,14.75,19.34,83.73,82.54,85.19,Garachico
2024,P1Y,MUNICIPALITIES,38016,679,368,311,37,112,174,182,175,18,60,86,112,92,19,52,88,70,83,530,295,236,26,91,137,147,130,14,51,73,88,69,12,40,64,59,61,67,25,59,379,414,216,198,26,78,111,105,95,14,42,55,57,49,12,36,56,48,46,240,155,86,174,62,112,117,79,38,149,74,76,11,21,37,35,45,51,26,24,21.94,19.96,24.28,78.03,73.37,83.86,Garafía
